,user_id,comment,time,date,rating
17,user_18,"Lugar bonito, espacioso y luminoso. Dispone también de amplia terraza con vistas al puerto. Fuera de temporada de verano (entre junio y septiembre) hay cantidad aparcamientos gratuitos en los alrededores muy cerca. La comida preparada con gusto y en cantidades aceptables. Bueno, bonito y un precio acorde con éste tipo de cocina, cuyos productos parecen de calidad con resultado de platos sabrosos. Echaría en falta algo más de variedad ya que tengo intención de volver y en un par de veces más ya habré probado todo. El trato por el personal agradable y atento. Tronas para niños pequeños, amplios servicios equipados con cambiador para bebés y meriendas a partir de las 17:00 de la tarde. Fantástico",Hace 4 años,2020-12-22,5 estrellas
18,user_19,"Es la segunda vez que venimos y se ha convertido en una parada obligatoria siempre que estamos en Hondarribia. Absolutamente todo lo que hemos probado está delicioso. En esta visita pedimos el rollito thai, las 3 croquetas que tienen (puerro, queso cabrales y brócoli) la ensalada viajera, el falafel y de postre plátano asado con sopa de coco. Todos los platos son recomendables pero viendo el nivel pide lo que quieras, seguro que está riquísimo.",Hace 2 años,2022-12-22,5 estrellas
19,user_20,"Local vegetariano, muy tranquilo, con terraza y vistas al puerto de Hondarribia. El personal es muy amable y la comida está muy buena. Parada obligatoria si quieres degustar platos vegetarianos en esta localidad.",Hace un año,2023-12-22,5 estrellas
20,user_21,"Una muy buena opción vegetariana y vegana en Hondarribia. La comida estuvo excelente: curry verde tailandés, wok, ensalada de quinoa y tarta de aguacate y crumble.
El camarero fue muy amable y dispuesto. Una pena la chica que nos trajo la tarta, porque lo hizo con desganas y fue muy antipática. Recomiendo que mejor se quede en una parte del restaurante donde no tenga contacto con el público. No me gusta salir de casa para que una arpía me sirva una tarta! Por eso 4 y no 5 estrellas. Por lo demás: estupendo.",Hace 4 años,2020-12-22,4 estrellas
21,user_22,"Llevaba bastante tiempo intentando probar este restaurante y la experiencia ha sido muy positiva.

Pedimos la ensalada reverde, croquetas y el rollito thai para compartir, y después la hamburguesa, el arroz chaufa y los tallarines, todo estaba brutal!

A destacar también la atención del servicio, muy serviciales y además nos hicieron muy buenas recomendaciones.

Volveremos!",Hace 2 años,2022-12-22,5 estrellas
22,user_23,"Después de mucho tiempo y muchos intentos, por fin pudimos probar sus platos.

La carta nos pareció un poco corta de ahi que no ponga un 5 ⭐️, por ello los platos que ofrecen los tienen muy controlados de tanto repetirlos. Si algo funciona, para qué cambiarlo, así no defrauda.

Pedimos unos entrantes: Rollitos thai y ensalada viajera. Y de plato principal, arroz chaufa y Rigatoni a la capponatta. Sin postre, pero con café.

Para dos, quedamos bien, no saciados, pero en su justa medida de cantidad. De sabor, todo espectacular.

El lugar acogedor, con mucho espacio, y disponen de terraza para los días apropiados poder comer fuera. El equipo muy atento y cordial.

Un vegetariano para apuntar.

Eso si, para reservar, hay que hacerlo con bastante tiempo, a nosotros nos costó.",Hace un año,2023-12-22,4 estrellas
23,user_24,"Comida vegetariana riquísima!

Tienen una carta variada con platos riquísimos y presentados de una forma preciosa. Una cosa que me gustó mucho es que en la página web, aparte de ver la carta completa, puedes filtrar aquellos alimentos a los que eres alérgico/intolerante y solo te salen aquellos platos que puedes degustar.

La atención al cliente fue espectacular. Todos los camareros que nos atendieron son muy simpáticos y estuvieron pendientes de que estuviésemos agusto y de que no nos faltase nada.

La ubicación es espectacular, con amplios lugares donde aparcar.

Si tienes intención de ir te aconsejo que reserves mesa, ya que nosotros no reservamos y cogimos la última mesa en la parte de fuera.",Hace 2 años,2022-12-22,5 estrellas
24,user_25,"La comida increíble y la atención estupenda. Sus cervezas artesanales muy recomendadas. En definitiva, un lugar para comer y descansar totalmente recomendable, tanto como por sus maravillosas vistas,  por la calidad precio y por su deliciosa salsa de curry verde, que de verdad no desmerece y hay que probar🤤…",Hace 4 años,2020-12-22,5 estrellas
25,user_26,"El servicio una MARAVILLA, la comida ESPECTACULAR. Repetiremos seguro 🩷",Hace 5 meses,2024-07-22,5 estrellas
26,user_27,"Restaurante vegetariano con muchas opciones tanto de desayuno como de carta para comer o cenar.

Los platos son grandes asi que se pueden compartir para probar diferentes cosas.

Pedimos la ensalada, curry thai y pasta con setas. De postre brownie y lemon pie, todo muy rico en un entorno muy agradable.",Hace 2 años,2022-12-22,4 estrellas
27,user_28,"La chica que nos atendió muy irrespetuosa con todas las mesas “espérense un momento tengo más trabajo” llevaba esperando 20 minutos a que me atendieras  , así a varias mesas , muy borde al atendernos , menos mal que no volveré.
Además le pedimos un cenicero para no tirar las colillas al suelo y su respuesta fue que nos levantásemos nosotros",Hace 3 semanas,2024-12-01,5 estrellas
28,user_29,"Hemos comido súper agusto,mucha variedad de comida vegetariana buenísima y un personal muy agradable, repetiremos sin duda.",Hace un año,2023-12-22,5 estrellas
29,user_30,"Camarero la atención poco profesional, por lo menos debía escuchar al cliente y máxime por una pequeña incidencia sin importancia, pero si no se escucha difícil de tratar mejorar.
Por lo menos armonía ya que se dedican a esto de ser camareros de un negocio o de su negocio.
No iré ni iremos nunca más.",Hace 2 meses,2024-10-22,1 estrella
30,user_31,"Muy recomendable para los que les guste probar platos nuevos y sabores diferentes. Buen servicio y ambiente agradable. Gracias,volveremos!",Hace 2 años,2022-12-22,4 estrellas
31,user_32,"Los totopos estaban muy duros y tardaron por un error cerca de 40 minutos en servirlo, pero después no nos los cobraron como cortesía. Nada que reprochar.
Comida vegetariana de calidad y un trato cercano y amable. Hemos comido muy a gusto 👍🏻…",Hace 4 años,2020-12-22,5 estrellas
32,user_33,"Un lugar muy especial para disfrutar de auténtica gastronomía vegetariana, hecho todo con mucho mimo.
Está siempre al completo así que os animo a hacer vuestras reservas con tiempo o a aprovechar los días de sol para poder coger mesa en su terraza del náutico dónde no se necesita reserva.
Felicidades por vuestro trabajo y crecimiento!! Que sigáis así Curry Verde!",Hace 6 años,2018-12-22,5 estrellas
33,user_34,"La comida muy buena, el ambiente muy tranquilo(quizá porque fuimos pronto) y además pudimos entrar con nuestro perro.
Eso sí, si te apetece un menú de esos que salen tan lleno que no te puedes mover....no es tu sitio. Pero precisamente por eso también me gustó",Hace 6 meses,2024-06-22,4 estrellas
34,user_35,"El trato y el servicio son muy agradables, y la comida está increíble, lugar con opciones vegetarianas/veganas muy interesante. Sin duda para repetir!",Hace 2 años,2022-12-22,5 estrellas
35,user_36,"Platos muy bien elaborados y originales. Muy sabrosos, y teniendo en cuenta que todos son vegetarianos.

Atención del personal muy buena y rápida.

Un punto en contra sería la abundancia de los platos.
Precio/calidad muy bueno.

Los platos de las fotos son para dos personas:
- gyozas
- curry amarillo
- tagliolini
- flan de dulce de leche con mascarpone
- lemon pie",Hace 2 años,2022-12-22,4 estrellas
36,user_37,"Todo muy bueno, los camareros muy simpáticos y la terraza estupenda. El único pero que podría sacarle es que hay pocas opciones veganas.",Hace 2 años,2022-12-22,5 estrellas
37,user_38,"Un restaurante vegetariano con una carta variada ubicado en el puerto deportivo de Hondarribia. Fuimos a cenar un viernes (previa reserva y solo quedaba una mesa) dos personas y pedimos para compartir una croqueta de queso azul, una croqueta de brócoli al curry verde, un rollito tailandés y unos totopos con guacamole. Los totopos muy buenos y la croqueta de brócoli muy exótica y con sabor intenso.
De plato principal, un curry rojo con salsa de cacahuete y leche de coco acompañado de fideos de arroz sin gluten (para celíacos) y una ensalada de burrata, tomate, mango y pesto sin gluten también.
Todo muy rico.
De postre un alfajor de dulce de leche y maicena (muy grande) y un flan de dulce de leche con queso mascarpone.
Todo estupendo y precios adecuados.
Bueno opción para celiacos",Hace 3 años,2021-12-22,5 estrellas
